epoch,lr-Adam,step,train_domain_loss,train_loss,train_task_loss,val_domain_acc,val_loss
,5.9999999999999995e-05,0,,,,,
0,,49,0.46201610565185547,0.3464304804801941,0.2078256458044052,,
0,,99,0.3533828556537628,0.31296879053115845,0.20695391297340393,,
0,,149,0.3175230622291565,0.31125539541244507,0.21599845588207245,,
0,,199,0.3021951913833618,0.29015156626701355,0.19949300587177277,,
0,,249,0.30632686614990234,0.2976503372192383,0.20575228333473206,,
0,,258,,,,0.9129728078842163,0.2315051108598709
,5.9999999999999995e-05,259,,,,,
1,,299,0.3446437120437622,0.3136376738548279,0.2102445662021637,,
1,,349,0.37434589862823486,0.3306358754634857,0.21833209693431854,,
1,,399,0.40470436215400696,0.3213827311992645,0.19997142255306244,,
1,,449,0.4741740822792053,0.37756025791168213,0.23530800640583038,,
1,,499,0.511021614074707,0.3912009596824646,0.2378944605588913,,
1,,517,,,,0.7670860886573792,0.23828867077827454
,5.9999999999999995e-05,518,,,,,
2,,549,0.4501543641090393,0.33771267533302307,0.20266635715961456,,
2,,599,0.45495715737342834,0.33438506722450256,0.19789791107177734,,
2,,649,0.4766433537006378,0.3693676292896271,0.22637461125850677,,
2,,699,0.460811972618103,0.35658857226371765,0.21834497153759003,,
2,,749,0.434045672416687,0.3416716456413269,0.21145792305469513,,
2,,776,,,,0.836635172367096,0.2388305813074112
,5.9999999999999995e-05,777,,,,,
3,,799,0.4049144983291626,0.33938688039779663,0.21791253983974457,,
3,,849,0.41236069798469543,0.3489939570426941,0.22528575360774994,,
3,,899,0.4173165559768677,0.3545095920562744,0.2293146401643753,,
3,,949,0.4208126366138458,0.3378579020500183,0.21161408722400665,,
3,,999,0.4256446361541748,0.34750187397003174,0.2198084592819214,,
3,,1035,,,,0.8272650837898254,0.2363824099302292
